/Users/benzanghi/Documents/Claude/Projects/Erdos/lp_research_state/code/_verify_R8_feasmap.py:10: UserWarning: Solution may be inaccurate. Try another solver, adjusting the solver settings, or solve with verbose=True for more information.
  prob.solve(solver='CLARABEL', verbose=False)
  (0.00,0.37,0.05) q-scan p0.37 h0        -> optimal_inaccurate   val=0.38121 FEAS (21s)
  (0.00,0.37,0.10) q-scan p0.37 h0        -> optimal              val=0.39094 FEAS (23s)
  (0.00,0.37,0.15) q-scan p0.37 h0        -> optimal_inaccurate   val=0.40588 FEAS (19s)
  (0.00,0.37,0.20) q-scan p0.37 h0        -> optimal_inaccurate   val=0.42994 FEAS (20s)
  (0.00,0.37,0.25) q-scan p0.37 h0        -> optimal_inaccurate   val=0.46384 FEAS (19s)
  (0.00,0.37,0.30) q-scan p0.37 h0        -> optimal_inaccurate   val=0.51502 FEAS (22s)
  (0.00,0.37,0.35) q-scan p0.37 h0        -> error:Solver 'CLARABEL' failed. Try another so val=nan INFEAS (15s)
  (0.00,0.37,0.40) q-scan p0.37 h0        -> infeasible           val=inf INFEAS (14s)
  (0.00,0.37,0.50) q-scan p0.37 h0        -> infeasible           val=inf INFEAS (12s)
  (0.00,0.37,0.70) q-scan p0.37 h0        -> infeasible           val=inf INFEAS (9s)
  (0.00,0.37,1.00) q-scan p0.37 h0        -> infeasible           val=inf INFEAS (7s)
  (0.00,0.00,0.05) q-scan p0 h0           -> optimal              val=0.43001 FEAS (19s)
  (0.00,0.00,0.20) q-scan p0 h0           -> optimal              val=0.44209 FEAS (23s)
  (0.00,0.00,0.40) q-scan p0 h0           -> optimal_inaccurate   val=0.54878 FEAS (21s)
  (0.00,0.00,0.60) q-scan p0 h0           -> infeasible           val=inf INFEAS (11s)
  (0.00,0.00,1.00) q-scan p0 h0           -> infeasible           val=inf INFEAS (7s)
  (0.00,0.00,0.05) p-scan q0.05 h0        -> optimal              val=0.43001 FEAS (16s)
  (0.00,0.15,0.05) p-scan q0.05 h0        -> optimal_inaccurate   val=0.41893 FEAS (18s)
  (0.00,0.25,0.05) p-scan q0.05 h0        -> optimal_inaccurate   val=0.40108 FEAS (18s)
  (0.00,0.30,0.05) p-scan q0.05 h0        -> optimal_inaccurate   val=0.39132 FEAS (22s)
  (0.00,0.33,0.05) p-scan q0.05 h0        -> optimal_inaccurate   val=0.38572 FEAS (20s)
  (0.00,0.42,0.05) p-scan q0.05 h0        -> optimal_inaccurate   val=0.38460 FEAS (20s)
  (0.00,0.50,0.05) p-scan q0.05 h0        -> optimal_inaccurate   val=0.40193 FEAS (22s)
  (0.00,0.70,0.05) p-scan q0.05 h0        -> infeasible           val=inf INFEAS (10s)
  (0.00,1.00,0.05) p-scan q0.05 h0        -> infeasible           val=inf INFEAS (7s)
  (0.08,0.37,0.05) q-scan p0.37 h0.08     -> optimal_inaccurate   val=0.40595 FEAS (21s)
  (0.08,0.37,0.20) q-scan p0.37 h0.08     -> optimal_inaccurate   val=0.46173 FEAS (20s)
  (0.08,0.37,0.40) q-scan p0.37 h0.08     -> infeasible           val=inf INFEAS (12s)
DONE feasmap, wrote _verify_R8_feasmap.json
